,count,mean,std,min,25%,50%,75%,max
TotalMRR,420.0,636.0094285714287,770.1073466100523,52.92,84.28,294.52,738.52,4676.88
TotalSeats,420.0,7.155952380952381,2.871984303614683,1.0,5.0,7.0,9.0,19.0
TotalLogins,406.0,118.2487684729064,105.51854174883475,0.0,37.0,86.0,165.5,464.0
AvgLogins,406.0,10.204320872118883,5.7585574844704785,0.0,5.35,9.21590909090909,14.244318181818182,24.5
AvgActiveUsers,406.0,5.632255262932948,3.5720848474307045,0.0,2.7569444444444446,5.0,8.121527777777779,16.0
TotalAPICalls,406.0,13341.591133004926,9608.119913999706,16.0,5324.75,10976.5,20383.75,45924.0
TotalSessionMinutes,406.0,2657.985714285714,1768.1749734391813,74.1,1125.4875,2241.95,4073.9,6907.5
